001,Mascot,00:00.7,00:04.3,audio/001-mascot.mp3,"Terminal Talk online. Bring every session into view."
002,Mascot,00:05.2,00:07.0,audio/002-mascot.mp3,"Frontend, report."
003,Frontend,00:07.2,00:10.3,audio/003-frontend.mp3,"Settings panel is clean. Voice controls are ready."
004,Mascot,00:11.0,00:12.3,audio/004-mascot.mp3,"Backend?"
005,Backend,00:12.7,00:15.4,audio/005-backend.mp3,"Hooks are live. Queue handling is stable."
006,Mascot,00:16.1,00:18.0,audio/006-mascot.wav,"Tests and docs, status."
007,Tests,00:18.2,00:20.2,audio/007-tests.mp3,"Checks green. No blockers."
008,Docs,00:20.5,00:22.7,audio/008-docs.mp3,"Landing page assets updated."
009,Mascot,00:23.5,00:25.8,audio/009-mascot.mp3,"Codex, give me the review queue."
010,Codex,00:26.0,00:28.0,audio/010-codex.wav,"Review queue clear."
011,Claude,00:28.6,00:30.9,audio/011-claude.mp3,"Implementation notes captured."
012,Mascot,00:31.4,00:35.2,audio/012-mascot.mp3,"Decision point: merge after review, then deploy."
013,Mascot,00:36.0,00:39.0,audio/013-mascot.mp3,"Hey Jarvis clip received. Priority audio goes first."
014,Mascot,00:40.0,00:45.4,audio/014-mascot.mp3,"Every terminal has a voice now. Keep building. I will keep watch."
015,Narrator,00:46.2,00:51.0,audio/015-narrator.wav,"Terminal Talk gives Claude Code and Codex a voice, so you can keep building while the work speaks back."
