001,Mascot,00:00.7,00:04.3,audio/001-mascot.mp3,"Terminal Talk online. Claude and Codex sessions are in view."
002,Mascot,00:05.2,00:07.0,audio/002-mascot.mp3,"Frontend, settings status."
003,Frontend,00:07.2,00:10.3,audio/003-frontend.wav,"Auto collapse, shortcuts, and voice controls are ready."
004,Mascot,00:11.0,00:12.3,audio/004-mascot.wav,"Backend?"
005,Backend,00:12.7,00:15.4,audio/005-backend.wav,"Native hooks are live. Queue handling and auto prune are stable."
006,Mascot,00:16.1,00:18.0,audio/006-mascot.wav,"Tests and docs, status."
007,Tests,00:18.2,00:20.2,audio/007-tests.wav,"Checks green. Capture scripts verified."
008,Docs,00:20.5,00:22.7,audio/008-docs.wav,"Video feature list updated."
009,Mascot,00:23.5,00:25.8,audio/009-mascot.wav,"Codex, give me heartbeat state."
010,Codex,00:26.0,00:28.0,audio/010-codex.wav,"Working state mapped. Terminal title synced."
011,Claude,00:28.6,00:30.9,audio/011-claude.wav,"Plugin session cleanup is complete."
012,Mascot,00:31.4,00:35.2,audio/012-mascot.wav,"Decision point: OpenAI fallback stays opt in."
013,Mascot,00:36.0,00:39.0,audio/013-mascot.wav,"Hey Jarvis clip received. Priority audio goes first."
014,Mascot,00:40.0,00:45.4,audio/014-mascot.wav,"Each session has a label, colour, voice, and transcript. Keep building."
015,Narrator,00:46.2,00:51.0,audio/015-narrator.wav,"Terminal Talk gives Claude Code and Codex one spoken queue, with identity, shortcuts, and voice fallback."
